"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"EPCT          ","EpiCept Corporation                     ","0.66","33261360","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EPCT          &selected=EPCT          ",
"EPIC","Epicor Software Corporation","12.56","793452880","1994","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EPIC&selected=EPIC",
"EPIQ","EPIQ Systems, Inc.","14.31","503726310","1997","Technology","EDP Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EPIQ&selected=EPIQ",
"PLUS","ePlus Inc.","27.18","230051520","1996","Technology","Retail: Computer Software & Peripheral Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=PLUS&selected=PLUS",
"EPHC","Epoch Holding Corporation","16.51","377319540","n/a","Finance","Investment Managers","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EPHC&selected=EPHC",
"EPOC","Epocrates, Inc.","23.03","513154460","n/a","Technology","EDP Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EPOC&selected=EPOC",
"EQIX","Equinix, Inc.","92.23","4260933770","2000","Public Utilities","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EQIX&selected=EQIX",
"ERT","eResearch Technology Inc.","6.2","303620200","n/a","Health Care","Precision Instruments","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ERT&selected=ERT",
"ERIE","Erie Indemnity Company","71.68","3566223360","n/a","Finance","Specialty Insurers","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ERIE&selected=ERIE",
"ESBF","ESB Financial Corporation","15.25","188566250","n/a","Finance","Savings Institutions","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ESBF&selected=ESBF",
"ESCA","Escalade, Incorporated","5.1","65315700","n/a","Consumer Non-Durables","Recreational Products/Toys","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ESCA&selected=ESCA",
"ESMC","Escalon Medical Corp.","1.0911","8211618.6","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ESMC&selected=ESMC",
"ESSA","ESSA Bancorp, Inc.","12.69","167279580","n/a","Finance","Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ESSA&selected=ESSA",
"ESSX","Essex Rental Corporation","7.53","183942840","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ESSX&selected=ESSX",
"CLWT","Euro Tech Holdings Company Limited","1.34","15838800","1997","Consumer Durables","Diversified Electronic Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CLWT&selected=CLWT",
"EEFT","Euronet Worldwide, Inc.","18.14","926663760","1997","Finance","Investment Bankers/Brokers/Service","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EEFT&selected=EEFT",
"ESEA","Euroseas Ltd.","4.41","136048500","n/a","Transportation","Marine Transportation","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ESEA&selected=ESEA",
"EVEP","EV Energy Partners, L.P.","54.56","1864533440","2006","Energy","Oil & Gas Production","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EVEP&selected=EVEP",
"ESLR","Evergreen Solar, Inc.","1.76","68029280","2000","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ESLR&selected=ESLR",
"EVOL","Evolving Systems, Inc.","7.2","77500800","1998","Technology","EDP Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EVOL&selected=EVOL",
"EXAS","EXACT Sciences Corporation","7.76","405009920","2001","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EXAS&selected=EXAS",
"EXAC","Exactech, Inc.","17.46","227853000","1996","Health Care","Industrial Specialties","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EXAC&selected=EXAC",
"EXAR","Exar Corporation","5.89","262187460","1985","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EXAR&selected=EXAR",
"EDS","Exceed Company Ltd.","6.46","126971300","n/a","Finance","Business Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EDS&selected=EDS",
"EDSUU","Exceed Company Ltd.","10.25","3013500","n/a","Finance","Business Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EDSUU&selected=EDSUU",
"EDSWW","Exceed Company Ltd.","1.23","12915000","n/a","Finance","Business Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EDSWW&selected=EDSWW",
"EXEL","Exelixis, Inc.","11.96","1515774520","2000","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EXEL&selected=EXEL",
